Date,Open,High,Low,Close,Volume
02/14/2024,"24.15","25.50","23.76","25.19","97,227,930"
02/13/2024,"23.53","24.66","23.31","24.01","102,293,297"
02/12/2024,"23.91","25.53","23.82","25.05","108,173,000"
02/09/2024,"25.04","25.11","23.57","24.38","149,062,000"
02/08/2024,"23.96","25.06","23.32","24.51","212,671,109"
02/07/2024,"21.60","23.87","21.38","23.60","254,911,109"
02/06/2024,"20.30","22.18","19.76","21.87","421,271,500"
02/05/2024,"17.56","17.87","16.48","16.72","167,698,297"
02/02/2024,"16.34","17.02","16.15","17.02","57,672,680"
02/01/2024,"16.21","16.49","16.03","16.33","40,454,379"
01/31/2024,"16.41","16.76","16.07","16.09","43,582,551"
01/30/2024,"17.04","17.24","16.66","16.74","36,388,180"
01/29/2024,"16.45","17.11","16.43","17.09","35,987,781"
01/26/2024,"16.40","16.75","16.34","16.35","28,612,150"
01/25/2024,"16.92","17.00","16.31","16.46","44,589,039"
01/24/2024,"17.51","17.65","16.74","16.75","42,710,699"
01/23/2024,"17.64","17.73","17.20","17.33","37,794,301"
01/22/2024,"17.46","18.35","17.43","17.60","85,573,914"
01/19/2024,"16.57","16.78","16.15","16.78","40,690,633"
01/18/2024,"16.75","16.81","16.10","16.40","35,239,738"
01/17/2024,"16.26","16.41","16.05","16.39","30,832,779"
01/16/2024,"16.59","16.74","16.29","16.53","32,659,260"
01/12/2024,"16.68","17.06","16.62","16.76","33,952,551"
01/11/2024,"16.81","16.93","16.17","16.68","39,552,367"
01/10/2024,"16.50","17.03","16.40","16.79","41,254,398"
01/09/2024,"16.51","16.63","16.28","16.39","35,794,473"
01/08/2024,"16.22","16.89","16.14","16.67","49,089,953"
01/05/2024,"15.70","16.13","15.66","15.98","57,700,008"
01/04/2024,"16.05","16.58","15.95","16.25","39,937,699"
01/03/2024,"16.12","16.38","16.01","16.09","46,865,199"
01/02/2024,"16.95","16.95","16.50","16.58","41,626,680"
